Project ID,Catchy Title [for dataset],"Catchy Title [for use case, application]",Country / Region ,What this is about/Description,Access to the dataset [link],"Access to AI Model, Software, AI Application [link]",Sector /Sustainable Development Goal ,Maturity / Readiness for replication or scaling [INTERNAL],Type of Data,Point of contact & community support ,Data characteristics: how to use it & key characteristics  & Responsible AI Assessments,"Model characteristics: How to use & key characteristics of the AI Model, Software, AI Application (if applicable)",How to use it: How can you concretely work with this and built on this? How much will this cost and which resources are available to help me? ,"Organizations involved - including logos, links and visual elements",Editor of this information:,Technical Domain,Expressive visualization / picture related to dataset / possible use / story-tellling,License,"Link to additional Resources (Paper, Publications, etc)",Lacuna Dataset (Yes/No),Info on fair sharing as as Digital Public Good ,Comments,Name in GIZ-internal database,"Registered as ""Digital Public Good"" with the DPGA registry?",Link to entry in DPG registry,On Hold 
ui_61,,Chatbot for Public Service Delivery in Rwanda,Rwanda,"Semantic Chatbot(s) & IVR for G2C services in Public Service Delivery and Good Governance 
 in Collaboration with Konza Technopolis, ICTA",will come?  please update name as it is the same as for a kenya activity ,,SDG 10,,"Text, Voice",,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,NLP,,,,,,,Bot of Bots Activity - in collaboration with Govstack for Kenya,No,,No
ui_62,A large scale collection of voice data in Kinyarwanda to allow the building of inclusive language technology ,,Rwanda,"This effort created the largest open-source voice dataset of diverse Kinyarwanda speakers for speech recognition (speech-to-text). It collected more than 2300  hours of AI voice data in Kinyarwanda (by 04/2025). You can use this resource to build AI systems understanding spoken Kinyarwanda e.g. in cellphones . This facilitates access to information in mother tongue, including by illiterate persons and in rural settings. ",https://datacollective.mozillafoundation.org/datasets?q=common+voice ; https://huggingface.co/datasets/mbazaNLP/common-voice-kinyarwanda-english-dataset  ,,"SDG 2, SDG 10",Dataset,Voice,Digital Umuganda (https://digitalumuganda.com/#contact),,,,"Powered by: Digital Umuganda & Mozilla Common voice Initiative
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ

",Balthas Seibold,NLP,,CC-0,,,,,,No,,No
ui_63,"Monitoring crop type area and enabling crop yield forecasting through AI and Earth Observation in Rwanda: mapping crop type for rice, maize, Irish potatoes and beans ","Monitoring crop type area and enabling crop yield forecasting through AI and Earth Observation in Rwanda: mapping crop type for rice, maize, Irish potatoes and beans ",Rwanda,"This prototype automated crop type mapping system for Rwanda leverages multi-sensor remote sensing data (Sentinel 1 & 2, dynamic world, SRTM). The crop mapping pipeline can be used to map the four most important staple foods in Rwanda (rice, maize, beans, Irish potatoes) in four Rwandan districts, and produce timely, 10-meter resolution crop type maps. Reference data from different sources including project field work, global research projects, and Rwandan authorities were used to fine-tune the geospatial foundational model Galileo for the downstream task of mapping what type of crop grows where. The reference data collected in the field was supported through the creation of polygon labels with PlanetScope imagery in collaboration with Rwandan academia. The crop mapping pipeline, the fine-tuned model, and the project's reference data are openly available for further usage. The overall good accuracy yielded by the approach under conditions with small field sizes, varying elevation and high cloud cover are promising for a successful application in all kinds of regions. Nevertheless, local reference data remains crucial for crop type mapping and an ideal approach should include all types of crops. You can follow the approach to create your own crop type mapping system, utilize the pipeline to fetch satellite imagery for various purposes, get inspired by the use and fine-tuning of the geospatial foundational model and apply it to a different task. You can also use the collected reference data for your own model. Accurate data on which crop grows were can be used in various applications e.g. improving agricultural policy and business decisions, integrating with yield estimation frameworks for spatially detailed predictions of seasonal production, crop health monitoring, crop insurance design, value chain assessments, supply and demand forecasting, and more. 
",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/O7IDTD,https://github.com/crop-type-mapping,SDG 2,Dataset  > Model > Pilot > Use-Case >  Use-Case with Business Model,Geospatial/Remote Sensing,Benson Kenduiyvo (b.kenduiywo@cgiar.org),,,,"Powered by: Alliance Bioversity International & CIAT
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",Golo Rademacher,Computer Vision,,MIT License,,,,More details as well as link to data to be added,ML4EO Crop Mapping Solution Rwanda,No,,No
ui_64,Better language translation for more training content in Kinyarwanda - education-specific machine translation for the Moodle Learning Management System,Better language translation for more training content in Kinyarwanda - education-specific machine translation for the Moodle Learning Management System,Rwanda,"Enabling language translation capabilities on the Moodle LMS platform, through a collaboration with Atingi; the use case explores 3 modes of translation. The first mode is navigation based, simply translating static messages such as buttons and notifications, secondly it explores full content translation, lastly, in-line translation. The project uses the NLLB-200 model for translation, other models could be experimented to explore feasibility of additional features such as QA or summarization, leveraging the plugin built by the team. ",https://huggingface.co/datasets/DigitalUmuganda/kinyarwanda-english-machine-translation-dataset;  https://huggingface.co/datasets/mbazaNLP/Kinyarwanda_English_parallel_dataset; https://huggingface.co/datasets/mbazaNLP/NMT_Education_parallel_data_en_kin; https://huggingface.co/datasets/DigitalUmuganda/kinyarwanda-english-machine-translation-dataset ,https://huggingface.co/mbazaNLP/Quantized_Nllb_Finetuned_Edu_En_Kin_8bit; https://huggingface.co/mbazaNLP/Nllb_finetuned_general_en_kin; https://huggingface.co/DigitalUmuganda/Finetuned-NLLB ,SDG 4,Dataset > Model > Pilot,Text,"Digital Umuganda (https://digitalumuganda.com/#contact), FAIR Forward Rwanda","Parallel datasets can be used to finetune LLMs to specific languages or domains; the example is for English-Kinyarwanda, to improve NLLB translation performance","Open source model NLLB-200, some variations quantized to minimize compute resource usage ","Integrate preferred machine translation model with Moodle plugin: https://github.com/Digital-Umuganda/moodle-translate_courses . Need to update for compatibility with newer Moodle updates, this was implemented during Moodle version 3.0 ","Powered by: Atingi, Digital Umuganda, Clear Global
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",Isaac,NLP,,Permissive,- https://moodlemoot.org/2024/timetable/event/246/ / https://aiopeneducation.pubpub.org/pub/7npwm2su/release/5?readingCollection=06969c6d ,,,,,No,,No
ui_65,SGBV Chatbot ,The USSD GBV Information Chatbot (*350#),Rwanda,"Enabling people to access essential information around GBV free of charge and anonymously. This innovative tool requires only a feature phone, with no internet connectivity needed. A collaborative effort between HDI-Rwanda and GIZ-Rwanda. As of November 27 (2024), the chatbot has reached an impressive 343,475 unique users, up from 160,000 on October 1st, with 1,991,660 interactions recorded today compared to 1,170,000 interactions in October. Update of stats pending",The dataset was not made public,The model was not made public,"SDG 10, SDG 5",Dataset  > Model > Pilot > Use-Case,Text,"GIZ (Christiane Adamczyk), Digital Umuganda (Samuel), HDI-Rwanda (Louange Twahirwa Gutabarwa)",,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",Isaac,NLP,https://media.licdn.com/dms/image/v2/D4D12AQG7JeoDl_2G4A/article-inline_image-shrink_1000_1488/article-inline_image-shrink_1000_1488/0/1732798105403?e=1765411200&v=beta&t=H76TKILEehQZZALbkbiW_Vrar9cCQSR2v5fHVKKrgvc,CC0,"Link 1 , Link 2, Link 3",,The chatbot framework that inspired these use cases shall later be registered as DPG,,,No,,No
ui_66,"From Maps to Meals: ML for Precision Ag - Enabling geo-scientists to use Machine Learning for Precision Agriculture of geospatial data 
",Enabling geo-scientists to use Machine Learning for Precision Agriculture of geospatial data,South Africa,"Development and implementation of a training program to enable practitioners in the field of Earth Observation in South Africa to use machine learning. 
Field data collected on small holder agricultural farm land (crops) with raw datasets + applied use cases of classification of land use cover using ML (based on individual projects presented)",https://drive.google.com/drive/folders/1P_bW8Is1Qa1HJIznVbq_vsQwH3ejKUa5?usp=drive_link,,"SDG 2, SDG 13, SDG 11",Dataset,"Drone Imagery, Geospatial/Remote Sensing",Dr Meena Lysko (mbc.mlysko@gmail.com),"Types of Data:
1. Satellite-Based Data: Sentinel-1 (SAR),  
Sentinel-2 (optical), Sentinel-2 (Vis),  Sentinel-2 (imagery)
2. Drone-Based Data: Drone imagery, multispectral
3. Ground-Based / In-situ Data
4. Spectral Data Types: Hyperspectral, Thermal IR
Data Formats: Images, Tabular

Field-level reflectance, chlorophyll-related vegetation indices (VIs), Spectral response to stress; Sentinel-2, NIR bands, Low-res images, spectral variability for phosphorus deficiency & MSV, Spatial mapping of weeds vs. crops, Red-edge based chlorophyll estimates, Red-edge bands, REIP indices, Thermal + multispectral image fusion, Temporal NDVI, vegetation change monitoring, Crop separability via bands 7, 8, 8A, 11, Correlation of VIs to LAI",Please see the other South Africa projects from Dr. Meena Lysko - this is the consolidated dataset source for the sub projects,Please see the other South Africa projects from Dr. Meena Lysko - this is the consolidated dataset source for the sub projects,"Powered by:  Move Beyond Consulting
Implementing partners: MBC, WITS, CSIR, ARC
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ ",Meena Lysko,Computer Vision,https://drive.google.com/drive/folders/1JMDhPAwVfS80qSFerU7f7jRhuKG05OFi?usp=drive_link,,https://drive.google.com/drive/folders/1R7iawHmEnTRJu_kmoR1iz26aii15ELIT?usp=drive_link,,,"Comment by Balthas: please let us check, if this and all subsequent entries on SA match the threashold of being a ""usable"" dataset for pratitioners, or if this was rather an academic dataset for training purposes. If the second is true, we should not list them here IMHO. Also see the challenge, that these datasets are only on googledrive and not really explained structured files, as far as I could check",ML4EO for Precision Agriculture,No,,No
ui_67,Data for Detecting and Assessing Tomato Stress,"Detecting and Assessing Tomato Stress using ASD Measurements and Drone Data: The Case of Project Munei Holding Investments, Ha-Mphaila, Makhado Local Municipality",South Africa,"Investigates methods for detecting and assessing stress in tomato plants using ASD measurements and drone data, focusing on Project Munei Holding Investment in Ha-Mphaila, Limpopo
",https://drive.google.com/drive/folders/1P_bW8Is1Qa1HJIznVbq_vsQwH3ejKUa5?usp=drive_link,,"SDG 2, SDG 11",Dataset,"Geospatial/Remote Sensing, Images",Dr Meena Lysko (mbc.mlysko@gmail.com),"Field-level reflectance, chlorophyll-related vegetation indices (VIs). The data comes in various forms: Hyperspectral, UAV imagery, SPAD, Images, Tabular",Random Forest; used for stress classification; Software/Application: Random Forest + UAV analytics,"Train RF using spectral indices; cost includes UAV flights, ASD rentals; open-source RF models or GEE usable","Powered by:  Move Beyond Consulting
Implementing partners: MBC, WITS, CSIR, ARC
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ ",Gladness Khoza and Chuma Majova,Computer Vision,https://drive.google.com/file/d/1XAzVlTGTc1TuXb10h67WDmuU91k2c2BP/view?usp=drive_link,,https://drive.google.com/file/d/1t3KiZiEQFprZMb8AYI01HrbSsSrfUwlb/view?usp=drive_link,,,,,No,,No
ui_68,The internet of Crops (IOC),Leaf Area Index Estimation of Tomato Crops in Sub-Humid Regions Based On Sentinel 2 Imagery and Random Forest Regression Ensemble,South Africa,"Investigates the use of Sentinel-2 satellite imagery and a random forest (RF) machine learning algorithm to estimate the Leaf Area Index (LAI) of tomato crops in the Ha-Mphaila irrigation scheme, Limpopo Province, South Africa. The research aimed to determine key wavebands and vegetation indices for LAI estimation, compare the performance of RF models with stepwise multiple linear regression (SMLR) models, and map the spatial distribution of LAI.",https://drive.google.com/drive/folders/1P_bW8Is1Qa1HJIznVbq_vsQwH3ejKUa5?usp=drive_link,,SDG 2,Dataset,"Geospatial/Remote Sensing, Images, Tabular",Dr Meena Lysko (mbc.mlysko@gmail.com),"Correlation of VIs to LAI, Sentinel-2 + LAI ground truth.",Random Forest Regression; Software/Application: Sentinel-2 + RF,"Free Sentinel-2 + fieldwork required; ML code free (e.g., Python)","Powered by:  Move Beyond Consulting
Implementing partners: MBC, WITS, CSIR, ARC
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ ",Frederick Mashao and Dr. Olufemi Olayiwola,Computer Vision,https://drive.google.com/file/d/1ZmDPVVb2SLxrWDE7LnCIl87_Wse4f8oK/view?usp=drive_link,,https://drive.google.com/file/d/1rqnCZTZ2b4MSp9C0nkFhU3A1Xhk4CwIe/view?usp=drive_link,,,,,No,,No
ui_69,Artificial Intelligence for Maize (AIM),Characterizing Maize Stress Using UAV Remote Sensing: A Machine Learning Approach,South Africa,"Investigates the use of remote sensing and machine learning to characterize maize stress in the Limpopo Province, South Africa. The study concludes that integrating field spectra and remotely sensed reflectance provides valuable information for maize stress investigation, supporting the development of mitigation and prevention strategies to ensure food security.",https://drive.google.com/drive/folders/1P_bW8Is1Qa1HJIznVbq_vsQwH3ejKUa5?usp=drive_link,,"SDG 2, SDG 11",Dataset,"Geospatial/Remote Sensing, Images",Dr Meena Lysko (mbc.mlysko@gmail.com),"Spectral response to stress; Sentinel-2, NIR bands.","Random Forest, SVM; Software/Application: Sentinel-2 + field spectral data",Access Sentinel-2 (free); field spectrometer needed for calibration,"Powered by:  Move Beyond Consulting
Implementing partners: MBC, WITS, CSIR, ARC
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ ",Gerhardt Botha and Mikka Parag,Computer Vision,https://drive.google.com/file/d/1XkSwcY0fmPmleRxfekkoOcBvF7kuAHFX/view?usp=drive_link,,https://drive.google.com/file/d/1cMBiijRJUyz8MVAuudrDnK2kkxbnoT6J/view?usp=drive_link,,,,,No,,No
ui_70,Data for Detecting and Assessing Maize Stress,"Monitoring Zea Mays (Maize) Disease Stress using Drone data and Machine Learning Techniques, and Advising on Possible Causes and Solutions",South Africa,"Assesses the capabilities of Earth observation and machine learning algorithms, specifically Random Forest and Support Vector Machines, in detecting maize disease stress using drone data. The study was conducted on a small-scale farm in Limpopo, South Africa, focusing on healthy maize, maize with streak virus, and maize with phosphorus deficiency. ",https://drive.google.com/drive/folders/1P_bW8Is1Qa1HJIznVbq_vsQwH3ejKUa5?usp=drive_link,,"SDG 2, SDG 11",Dataset,"Geospatial/Remote Sensing, Images, Drone Imagery",Dr Meena Lysko (mbc.mlysko@gmail.com),"Low-res images, (hyper)spectral variability for phosphorus deficiency & MSV.","Random Forest, SVM; <80% accuracy; Software/Application: Drone + ML (RF, SVM)","Requires high-quality imagery, better spectral resolution; GEE and drone access recommended","Powered by:  Move Beyond Consulting
Implementing partners: MBC, WITS, CSIR, ARC
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ ",Khanyisa Mpisane and Kanya Xongo,Computer Vision,https://drive.google.com/file/d/1CV_nkCyPYt9ecxWyEcmEguYpLh9DFb2V/view?usp=drive_link,,https://drive.google.com/file/d/13tu-8UnI1FYk7DLkI_Z1qmprWW3EWlfp/view?usp=drive_link,,,,,No,,No
ui_71,Weeties,Precision weed mapping and management in tomato fields using drone data in support of small-holder farming,South Africa,"Drone high-resolution images were used with a semi-automated random forest (RF) classifier algorithm in Google Earth Engine to classify bare soil, weeds, and tomatoes. The findings can serve as a reference for agricultural researchers and advise farmers on crop management, potentially reducing costs and herbicide use.",https://drive.google.com/drive/folders/1P_bW8Is1Qa1HJIznVbq_vsQwH3ejKUa5?usp=drive_link,,"SDG 2, SDG 11, SDG 12",Dataset,"Geospatial/Remote Sensing, Images, Drone Imagery",Dr Meena Lysko (mbc.mlysko@gmail.com),Spatial mapping of weeds vs. crops using RGB/Multispectral data in addition to Drone imagery and Tabular obseravations.,Random Forest; high training accuracy (89%); Software/Application: GEE + Random Forest,Drone + GEE for processing; reduce herbicide usage,"Powered by:  Move Beyond Consulting
Implementing partners: MBC, WITS, CSIR, ARC
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ ",Martin Chari and Makgabo Mashala,Computer Vision,https://drive.google.com/file/d/1hyiQSbdMyB0O5BYR8fl31BfyvRzRIlP8/view?usp=drive_link,,https://drive.google.com/file/d/1uFKAZ9CCniykTKRSsh2-nxKW2f3Wkpbb/view?usp=drive_link,,,,,No,,No
ui_72,Chlorophyll-Busters,Estimation of chlorophyll contents of crops (maize and tomato) using Sentinel-2 and drone data by applying Random Forest machine learning algorithm: A case study of the Ha-Mphaila farming area of South Africa,South Africa,"Explores using the Random Forest Regression (RFR) machine learning algorithm with Sentinel-2 and drone imagery to estimate relative chlorophyll values in tomato and maize crops within South Africa's Ha-Mphaila farming area. The research concludes that both Sentinel-2 imagery (10m and 20m spatial resolution) and high-resolution drone images are valuable for rapidly assessing crop chlorophyll content across significant areas, offering useful insights for precision agriculture.",https://drive.google.com/drive/folders/1P_bW8Is1Qa1HJIznVbq_vsQwH3ejKUa5?usp=drive_link,,"SDG 2, SDG 11, SDG 13",Dataset,"Geospatial/Remote Sensing, Images, Drone Imagery",Dr Meena Lysko (mbc.mlysko@gmail.com),Red-edge based chlorophyll estimates & Sentinel-2 data,Random Forest Regression; Software/Application: Sentinel-2 + drone + RF,Sentinel free; drone + SPAD sensor may be costly unless shared,"Powered by:  Move Beyond Consulting
Implementing partners: MBC, WITS, CSIR, ARC
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ ",Cindy Viviers and Dr. Abraham Thomas,Computer Vision,https://drive.google.com/file/d/1KVUM-JLYg6CY-B3WmVj4-puKacJvg8_x/view?usp=drive_link,,https://drive.google.com/file/d/1dfgcycIgFy7SKUHJcZ2qFERbQTbehxVh/view?usp=drive_link,,,,,No,,No
ui_73,The Agro-Innovators,Evaluating the Performance of Machine Learning Algorithms for Estimating Chlorophyll Content of Tomatoes with Unmanned Aerial Vehicle (UAV)-Based Data.,South Africa,Evaluates the performance of machine learning algorithms for estimating chlorophyll content in tomatoes using Sentinel-2 satellite data. ,https://drive.google.com/drive/folders/1P_bW8Is1Qa1HJIznVbq_vsQwH3ejKUa5?usp=drive_link,,"SDG 2, SDG 11, SDG 13",Dataset,"Geospatial/Remote Sensing, Images, Drone Imagery",Dr Meena Lysko (mbc.mlysko@gmail.com),"Red-edge bands, REIP indices, Sentinel-2, SPAD chlorophyll","Bagging, Boosting, ANN, SVR; Software/Application: Chlorophyll estimation ML",Train model on SPAD + satellite indices; uses open-source ML tools,"Powered by:  Move Beyond Consulting
Implementing partners: MBC, WITS, CSIR, ARC
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ ",Sisipho Ngebe and Afika Singano,Computer Vision,https://drive.google.com/file/d/1kugMpKasnb5_7XJkRj3jnAQw8retlV4W/view?usp=drive_link,,https://drive.google.com/file/d/1QYB5PBhQVaDQ1J-YP0ZfOAsLXznla_Kr/view?usp=drive_link,,,,,No,,No
ui_74,Agro-thermography,"Integration of ground-based vegetation parameters, thermal infrared and UAV multispectral data for mapping of crop canopy temperature",South Africa,"Explores the integration of ground-based vegetation parameters, thermal infrared data from handheld cameras, and UAV multispectral data to map crop canopy temperature at high resolution. The research, conducted at the Ha-Mphaila irrigation scheme in Limpopo, South Africa, focused on tomato crops.",https://drive.google.com/drive/folders/1P_bW8Is1Qa1HJIznVbq_vsQwH3ejKUa5?usp=drive_link,,"SDG 2, SDG 11, SDG 13",Dataset,"Geospatial/Remote Sensing, Images, Tabular",Dr Meena Lysko (mbc.mlysko@gmail.com),Thermal IR and multispectral image fusion and field data + Drone Data,Regression model; canopy temperature estimation; Software/Application: Thermal camera + UAV + regression models,Needs UAV & thermal cam; costly setup unless shared or borrowed,"Powered by:  Move Beyond Consulting
Implementing partners: MBC, WITS, CSIR, ARC
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ ",Dr. Mohamed Ahmed and Phumlani Zwane,Computer Vision,https://drive.google.com/file/d/1MOSiW0BIzqwK2YMEp1dCcIzItgLm8wR8/view?usp=drive_link,,https://drive.google.com/file/d/1GMpDiMlY-wYXTB6T5woikRpFbgQ21hhp/view?usp=drive_link,,,,,No,,No
ui_75,Discovering Agriculture Insurance,Remote Sensing and Machine Learning Applications in Agriculture Index Insurance (AII),South Africa,"Investigates how remote sensing and machine learning can be used to improve Agricultural Index Insurance (AII) for smallholder farmers in South Africa, who often lack access to affordable insurance.  Key recommendations include supporting further research and development in these areas and implementing educational campaigns to build farmer trust and awareness of index insurance benefits.",https://drive.google.com/drive/folders/1P_bW8Is1Qa1HJIznVbq_vsQwH3ejKUa5?usp=drive_link,,"SDG 2, SDG 13",Dataset,"Geospatial/Remote Sensing, Images, Tabular",Dr Meena Lysko (mbc.mlysko@gmail.com),"Temporal NDVI and chlorophyll indices, vegetation change monitoring, Sentinel-2 based",ML for index-insurance mapping; Software/Application: Dynamic World + ML,"Integrate indices into insurance design; Sentinel-2 free; ML libraries (e.g., Scikit-learn)","Powered by:  Move Beyond Consulting
Implementing partners: MBC, WITS, CSIR, ARC
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ ",Shereen Francis and Yashoda Maharaj,Computer Vision,https://drive.google.com/file/d/1LHAaaDSYSNbBAaeVdmBFlpecX_ntVEKf/view?usp=drive_link,,https://drive.google.com/file/d/1rGoapVNyVsVwMxDfBrRfdVoyRCpjwnIy/view?usp=drive_link,,,,,No,,No
ui_76,SAR Busters,Crop type mapping in Mphaila irrigation scheme in Vhembe District in Limpopo Province,South Africa,"Explores the use of Sentinel-1 and Sentinel-2 satellite data for crop type mapping in smallholder farming areas. The study focuses on improving classification accuracy by identifying optimal spectral bands and evaluating machine learning algorithms like decision tree and random forest classifiers
",https://drive.google.com/drive/folders/1P_bW8Is1Qa1HJIznVbq_vsQwH3ejKUa5?usp=drive_link,,SDG 2,Dataset,"Geospatial/Remote Sensing, Images, Tabular",Dr Meena Lysko (mbc.mlysko@gmail.com),"Crop separability via bands 7, 8, 8A, 11. Sentinel-1 (SAR) and  Sentinel-2 (optical) based","Decision Tree, Random Forest; Software/Application: Crop mapping using ML",Sentinel data free; GEE platform usable,"Powered by:  Move Beyond Consulting
Implementing partners: MBC, WITS, CSIR, ARC
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ ",Dleme Tswai and Dr. Theunis Morgenthal,Computer Vision,https://drive.google.com/file/d/1mjjI5knaWJqjOQURj7OKfKxMbMDEmvEH/view?usp=drive_link,,https://drive.google.com/file/d/1c54f9Lh5IV8T_XLrlf_8ItAitrBEjTVZ/view?usp=drive_link,,,,,No,,No
ui_77,Voices of Mzansi - Making all official languages of South Africa AI-ready: translating the Common-Voice interface & enabling Open-source text-to-speech dataset collection,,South Africa,"Univ of Stellenbosch Grant (Febe de Wet) - Voices of Mzansi project aimed to get South Africa's languages launched on the Mozilla Common Voice platform1. To achieve this aim the Common Voice website had to be translated from English into the other official languages and at least 5 000 sentences had to be collected for each language. The collected sentences have to be available in the open domain under CC-0 licensing. Once a languages is launched, the sentences are used as prompts for speech data collection through the Common Voice platform. This unlocks open-source text-to-speech dataset collection and thereby ultimately facilitates access to information in mother tongue, including by illiterate persons and in rural settings. ",https://commonvoice.mozilla.org/de/languages,,"SDG 2, SDG 10",Dataset,"Text, Voice",Prof. Febe de Wet,,,,"Powered by:  University of Stellenbosch 
Catalyzed by: South African Digital Language Resources (SADILAR), FAIR Forward - AI for All, Mozilla Foundation, UNESCO decade of indigenous languages
Financed by: BMZ",,NLP,,CC-O,Mozilla CVP,,,"Original title: Making voice data available in all official languages of South Africa as a digital public good - Voices of Mzansi: Speaking Data, Speaking home",NLP grant Localising Common Voice for South African Languages,No,,No
ui_78,Spot the Crop,"Crop Type Identification from Satellite Imagery in Western Cape, South Africa",South Africa,This dataset and AI model was produced as part of the Radiant Earth Spot the Crop Challenge (https://zindi.africa/hackathons/radiant-earth-spot-the-crop-hackathon). The objective of the competition was to create a machine learning model to classify fields by crop type from images collected during the growing season by the Sentinel-2 and Sentinel-1 satellites.,https://beta.source.coop/repositories/radiantearth/south-africa-crops-competition/description/,https://github.com/radiantearth/spot-the-crop-challenge,"SDG 2, SDG 13",Dataset > Model > Pilot,Tabular,Radiant Earth (ml@radiant.earth),The dataset contains a time-series of satellite imagery and labels for crop type that have been collected through aerial and ground survey. Labels are derived from the survey conducted by the Western Cape Department of Agriculture. Satellite data including multispectral Sentinel-2 are then matched with corresponding labels.,"This repository contains the winning models from the Zindi data competition ""Spot the Crop"" in which participants used time series of Sentinel-2 multispectral imagery as input for crop type classification.

","The agricultural sector makes a substantial contribution to GDP and livelihoods across the developing world. However, regular and reliable agricultural data remains difficult and expensive to collect on the ground. As a result, policy-makers usually don’t have access to updated data for implementing policies or supporting farmers. Earth observation satellites provide a wealth of multispectral image data that can be used for developing agricultural monitoring tools. These tools support farmers and policy-makers across Africa and the developing world. With this dataset and AI model you can use time-series of Sentinel-2 multi-spectral data to classify crops in the Western Cape of South Africa.","Powered by: Radiant Earth, Western Cape Department of Agriculture
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",Philipp Olbrich,Computer Vision,,CC-BY 4.0,https://zindi.africa/competitions/radiant-earth-spot-the-crop-challenge,,,,South Africa Crop Type Competition,No,,No
ui_79,,AI for Agricultural Advisory and Financial Services for Smallholder Farmers in Tanzania,Tanzania,"A majority of smallholder farmers in Tanzania are only able to communicate through the Kiswahili spoken language and its dialects. A text and voice-based platform made available in the language of the underserved (i.e., Kiswahili) would be key to wide access, adoption, and usage of digital agricultural advisory and financial services in Tanzania. The objective is to develop a text and voice recognition platform that will offer smallholder farmers in the Tanzanian Maize Value Chain personalized digital financial and non-financial automated services based on location, agro-ecological zones, and crop cycle. Based on gender-disaggregated data from the pilot phase, it is anticipated that the majority of participants will be women. This was part of a Mozilla innovation challenge supporting people and projects across East Africa who leverage Common Voice’s open-source voice data set to unlock social and economic opportunities. These grants help to advance the use of open-source voice data for products that support community participation and engagement.",,,"SDG 10, SDG 2, SDG 5",Dataset > Model > Pilot,"Text, Voice","Duniacom Group, LLC",,,,"Powered by: Duniacom Group, LLC
Catalyzed by: Mozilla & FAIR Forward - AI for All
Financed by: Gates Foundation & BMZ","Daniel Brumund, Balthas Seibold",NLP,https://assets.mofoprod.net/network/images/KTVRP.2e16d0ba.fill-760x760-c100.format-jpeg_9VkBrtV.jpg,,https://www.mozillafoundation.org/en/what-we-fund/programs/common-voice-kiswahili-awards/awards/  https://foundation.mozilla.org/blog/supporting-maize-farmers-in-tanzania/,,,,Kiswahili Text and Voice Recognition Platform (KTVRP) for Agricultural Advisory and Financial Services for Smallholder Farmers,No,,No
ui_80,,Kiazi Bora - informing vulnerable women in Tanzania on the nutritional values of Orange Fleshed Sweet Potatoes,Tanzania,"Kiazi Bora, “Quality Potatoes’’ in Swahili, uses a voice enabled application that informs vulnerable women living in rural areas and marginalized communities of Tanzania on the nutritional values of Orange Fleshed Sweet Potatoes (OFSP), farming skills for better yields, and detailed market availability for raw or processed OFSP food products, all through a voice data set app. 

This was part of a Mozilla innovation challenge supporting people and projects across East Africa who leverage Common Voice’s open-source voice data set to unlock social and economic opportunities. These grants help to advance the use of open-source voice data for products that support community participation and engagement.","Unfortunately no information or contacts to inquire further. The organisation's website is down. Assumably they ceased to exist (DB, 28 Nov 2025)",,"SDG 10, SDG 2, SDG 5",Dataset > Model > Pilot,"Text, Voice",,,,,"Powered by: Sustain Earth's Environment Africa
Catalyzed by: Mozilla & FAIR Forward - AI for All
Financed by: Gates Foundation & BMZ",Balthas Seibold,NLP,https://assets.mofoprod.net/network/images/Kiazi-Bora.2e16d0ba.fill-760x760-c100.format-jpeg_WQA0YAL.jpg,,https://foundation.mozilla.org/blog/growing-skills-confidence-and-quality-potatoes-in-tanzania/,,,,,No,,No
